,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
19,0.1996555555555555,[784  30  10],relu,1.44,0.6,30,70
115,0.1986833333333333,[784 100  10],relu,1.12,2.5000000000000004,30,90
111,0.1949333333333333,[784  10  10],softmax,0.14,0.4,60,10
43,0.1922111111111111,[784  30  10],relu,1.15,0.2,30,80
0,0.1907833333333333,[784  10],tanh,0.48,0.6,290,10
174,0.178,[784 100  10],tanh,0.74,0.9,10,30
62,0.1768388888888888,[784  10],softmax,0.53,0.8,330,10
21,0.1725388888888888,[784 100  10],relu,0.52,0.6,40,10
139,0.1574222222222222,[784  30  10],tanh,1.05,1.9,10,10
62,0.1554444444444444,[784  30  10],tanh,1.72,0.2,40,50
11,0.14985,[784 100  10],relu,1.23,1.5000000000000002,20,70
128,0.1468222222222222,[784 100  10],relu,1.13,0.3,40,40
150,0.1426944444444444,[784 100  10],tanh,2.92,0.2,10,80
41,0.1338777777777778,[784  30  10],relu,0.8,1.9,40,20
112,0.1229833333333333,[784 100  10],tanh,2.05,2.6,20,30
63,0.1229833333333333,[784  30  10],tanh,2.18,1.5000000000000002,30,70
158,0.1229833333333333,[784  30  10],tanh,1.72,1.4,30,20
64,0.1182722222222222,[784 100  10],relu,2.77,2.8000000000000003,10,50
85,0.1182722222222222,[784  30  10],relu,2.27,1.7000000000000002,10,50
59,0.1182722222222222,[784 100  10],relu,2.85,1.9,40,50
30,0.1182722222222222,[784 100  10],relu,0.92,0.7000000000000001,50,20
55,0.1182722222222222,[784  30  10],relu,1.14,0.3,30,20
54,0.1182722222222222,[784 100  10],tanh,2.91,1.4,40,50
57,0.1182722222222222,[784 100  10],relu,2.88,0.2,40,80
75,0.1182722222222222,[784 100  10],relu,2.0,1.2000000000000002,10,30
68,0.1182722222222222,[784  30  10],relu,1.87,2.9000000000000004,30,10
72,0.1182722222222222,[784  30  10],relu,2.14,0.3,10,90
46,0.1182722222222222,[784 100  10],relu,2.13,2.7,10,20
76,0.1182722222222222,[784  30  10],relu,1.37,2.3000000000000003,10,50
83,0.1182722222222222,[784 100  10],relu,1.69,1.1,30,70
143,0.1182722222222222,[784  30  10],relu,2.92,1.0,40,70
86,0.1182722222222222,[784 100  10],tanh,1.34,0.9,20,30
87,0.1182722222222222,[784  30  10],relu,1.63,0.4,30,20
91,0.1182722222222222,[784 100  10],relu,2.36,0.2,40,10
92,0.1182722222222222,[784 100  10],relu,2.2,2.2,10,80
97,0.1182722222222222,[784  30  10],relu,2.53,2.6,40,90
50,0.1182722222222222,[784 100  10],relu,2.6,0.4,30,40
40,0.1182722222222222,[784 100  10],relu,2.84,1.0,30,90
52,0.1182722222222222,[784  30  10],relu,0.8400000000000001,0.3,60,10
68,0.1182722222222222,[784  30  10],relu,0.77,0.1,50,10
5,0.1182722222222222,[784  10  10],relu,0.98,0.3,210,20
107,0.1182722222222222,[784  11  10],relu,0.89,0.6,400,30
6,0.1182722222222222,[784 100  10],relu,2.27,1.8000000000000005,10,40
8,0.1182722222222222,[784 100  10],relu,2.3,1.1,30,40
10,0.1182722222222222,[784 100  10],relu,1.75,0.8,10,70
12,0.1182722222222222,[784 100  10],relu,2.33,0.2,30,60
14,0.1182722222222222,[784 100  10],relu,2.65,1.3000000000000005,30,60
15,0.1182722222222222,[784  30  10],relu,2.52,2.0,20,90
20,0.1182722222222222,[784  30  10],relu,2.94,1.8000000000000005,10,10
21,0.1182722222222222,[784  30  10],relu,2.3,2.5000000000000004,30,60
2,0.1182722222222222,[784  60  10],relu,0.75,0.5,60,20
24,0.1182722222222222,[784 100  10],relu,1.43,2.8000000000000003,10,50
25,0.1182722222222222,[784 100  10],tanh,2.1,1.5000000000000002,20,20
26,0.1182722222222222,[784 100  10],relu,2.88,0.3,30,80
28,0.1182722222222222,[784  30  10],relu,2.17,2.5000000000000004,30,50
30,0.1182722222222222,[784 100  10],relu,1.24,0.8,10,20
33,0.1182722222222222,[784  30  10],relu,1.63,1.8000000000000005,10,60
35,0.1182722222222222,[784  30  10],relu,2.6,2.9000000000000004,20,20
57,0.1182722222222222,[784  30  10],relu,0.95,0.1,50,10
38,0.1182722222222222,[784  30  10],relu,1.44,0.5,30,20
102,0.1182722222222222,[784 100  10],relu,2.54,1.1,30,90
84,0.1182722222222222,[784  30  10],relu,2.06,2.5000000000000004,30,70
103,0.1182722222222222,[784  30  10],relu,2.33,1.2000000000000002,40,30
190,0.1182722222222222,[784 100  10],relu,1.63,0.6,10,60
153,0.1182722222222222,[784 100  10],relu,2.96,2.2,30,70
155,0.1182722222222222,[784 100  10],relu,2.47,1.4,10,60
185,0.1182722222222222,[784 100  10],relu,2.55,2.1,30,10
157,0.1182722222222222,[784 100  10],tanh,2.27,0.5,20,90
117,0.1182722222222222,[784 100  10],tanh,1.52,1.7000000000000002,20,20
118,0.1182722222222222,[784 100  10],relu,1.87,1.6,30,70
138,0.1182722222222222,[784 100  10],relu,0.79,2.7,10,10
160,0.1182722222222222,[784 100  10],relu,1.25,1.8000000000000005,40,60
120,0.1182722222222222,[784 100  10],relu,2.5,1.4,40,80
180,0.1182722222222222,[784  30  10],relu,1.65,2.2,30,20
137,0.1182722222222222,[784  30  10],relu,2.08,1.6,30,60
134,0.1182722222222222,[784 100  10],relu,1.6700000000000002,0.8,20,40
176,0.1182722222222222,[784  30  10],relu,1.73,1.9,40,70
175,0.1182722222222222,[784 100  10],relu,2.22,2.1,10,30
125,0.1182722222222222,[784  30  10],relu,2.72,1.7000000000000002,40,40
189,0.1182722222222222,[784  30  10],relu,2.93,2.6,10,80
113,0.1182722222222222,[784 100  10],relu,2.49,1.1,10,20
109,0.1182722222222222,[784 100  10],relu,2.88,1.5000000000000002,10,20
193,0.1182722222222222,[784  30  10],relu,2.58,2.9000000000000004,40,30
0,0.1182722222222222,[784  60  10],relu,0.9,0.4,60,10
104,0.1182722222222222,[784 100  10],relu,1.7,1.5000000000000002,20,20
195,0.1182722222222222,[784  30  10],relu,2.79,1.2000000000000002,40,90
105,0.1182722222222222,[784 100  10],relu,1.8,2.6,40,50
140,0.1182722222222222,[784  30  10],relu,2.75,2.1,30,10
149,0.1182722222222222,[784 100  10],relu,2.52,1.9,10,80
79,0.1182666666666666,[784 100  10],relu,1.56,0.2,10,70
95,0.1182555555555555,[784 100  10],relu,1.33,0.6,20,50
172,0.1110888888888888,[784  30  10],tanh,1.41,2.5000000000000004,20,30
58,0.1094944444444444,[784  30  10],tanh,2.85,2.2,30,10
93,0.1094944444444444,[784  30  10],tanh,1.13,2.1,40,10
129,0.1094944444444444,[784 100  10],tanh,1.88,2.6,20,10
22,0.1094944444444444,[784 100  10],tanh,1.38,1.2000000000000002,30,10
5,0.1094944444444444,[784  30  10],tanh,2.94,0.9,40,30
90,0.1094944444444444,[784 100  10],tanh,1.0,1.2000000000000002,10,10
122,0.1094944444444444,[784  30  10],tanh,2.48,1.6,20,40
74,0.1094944444444444,[784  30  10],tanh,2.61,0.6,40,10
13,0.1094944444444444,[784 100  10],tanh,2.38,0.6,20,10
116,0.1094944444444444,[784  30  10],tanh,2.57,1.5000000000000002,20,10
192,0.1094944444444444,[784  30  10],tanh,2.81,0.6,40,10
156,0.1094944444444444,[784 100  10],tanh,1.82,1.5000000000000002,40,10
67,0.1094944444444444,[784 100  10],tanh,1.83,0.6,40,20
54,0.1094944444444444,[784  60  10],tanh,0.96,0.4,40,10
146,0.1087555555555555,[784  30  10],relu,0.77,2.1,30,30
147,0.1053111111111111,[784  30  10],tanh,2.66,0.5,10,80
44,0.1053111111111111,[784  30  10],tanh,1.72,1.5000000000000002,20,90
154,0.1017111111111111,[784 100  10],tanh,1.47,0.5,30,40
162,0.1017111111111111,[784 100  10],tanh,2.51,1.5000000000000002,30,20
167,0.1017111111111111,[784  30  10],tanh,2.5,0.3,30,50
126,0.1017111111111111,[784  30  10],tanh,2.21,2.2,30,80
152,0.1017111111111111,[784 100  10],tanh,1.54,0.8,20,20
144,0.1017111111111111,[784  30  10],tanh,1.66,1.7000000000000002,20,80
45,0.1017111111111111,[784 100  10],tanh,1.8,2.0,40,90
197,0.1017111111111111,[784  30  10],tanh,1.47,1.7000000000000002,30,50
48,0.1017111111111111,[784  30  10],tanh,2.89,2.8000000000000003,10,30
73,0.1017111111111111,[784 100  10],tanh,2.53,0.2,30,50
110,0.1017111111111111,[784 100  10],tanh,1.01,2.8000000000000003,20,70
71,0.1017111111111111,[784  30  10],tanh,1.6,1.6,20,80
53,0.1017111111111111,[784 100  10],relu,0.96,1.8000000000000005,10,50
127,0.0959111111111111,[784  30  10],tanh,2.58,2.2,30,90
88,0.0959111111111111,[784 100  10],tanh,1.8,1.7000000000000002,20,70
70,0.0959111111111111,[784  30  10],tanh,2.96,1.6,30,50
66,0.0959111111111111,[784 100  10],tanh,2.3,2.9000000000000004,20,80
65,0.0959111111111111,[784  30  10],tanh,2.74,1.3000000000000005,10,60
177,0.0959111111111111,[784  30  10],tanh,2.19,2.9000000000000004,30,90
135,0.0959111111111111,[784 100  10],tanh,2.86,0.3,40,30
101,0.0919277777777777,[784 100  10],tanh,2.06,2.3000000000000003,40,30
82,0.0895611111111111,[784 100  10],tanh,1.36,1.9,30,20
89,0.0895611111111111,[784 100  10],tanh,2.51,0.5,40,80
136,0.0852,[784  30  10],tanh,1.56,1.9,10,90
9,0.0852,[784  30  10],tanh,2.3,2.6,20,70
47,0.0852,[784 100  10],tanh,1.15,2.6,10,60
60,0.0796277777777777,[784  30  10],tanh,1.32,1.6,30,40
61,0.0796277777777777,[784 100  10],tanh,2.35,2.9000000000000004,40,70
69,0.0796277777777777,[784  30  10],tanh,2.19,1.2000000000000002,30,50
165,0.0796277777777777,[784  30  10],tanh,2.92,2.2,10,50
29,0.0796277777777777,[784  30  10],tanh,2.16,1.3000000000000005,10,40
77,0.0796277777777777,[784 100  10],tanh,2.43,2.0,20,80
49,0.0796277777777777,[784  30  10],tanh,1.8,0.4,30,60
123,0.0796277777777777,[784  30  10],tanh,2.98,1.7000000000000002,10,90
